Boarding Points,Latitude,Longitude,Demand
Santhoshpuram Bus stop,14.6971511,78.64008286,14
Kamaraj nagar Busstop,17.96418402,80.79862147,0
Camproad Bus stop,12.12628211,78.25992337,3
MCC college bus stop,12.15594539,79.08389678,2
Vandalur Bridge Down,17.60412259,79.83705506,1
Karasangal,19.10270838,78.6311439,18
Tollgate (Walaja),19.68018748,80.08753068,20
Kaveripakkam BS,17.25571448,79.37260994,15
Ocheri,11.08958999,79.99517097,20
Perumpulibakkam,13.94709731,78.71282269,20
Dhammal,17.93348747,79.01360923,6
Baluchetty bypass road,10.68633677,80.70766424,13
White gate,14.9246501,79.35505855,19
Ponnerikarai by-pass,16.18169334,79.76699981,16
Pillaichatram,19.28055549,80.83579547,2
Sandavellore,15.06195753,79.80857894,6
Sunguvarchatram BS,17.50842066,78.98132118,2
Deepika hospital,18.30209751,80.93416187,3
Ekkanampettai,11.42146547,80.13996523,7
Varanavasi,14.02171058,80.67985267,7
Mathur,13.09122956,79.01878357,10
Thanthondri amman koil,19.19186292,79.40905719,13
SPR Mani Konndu,10.77236269,80.29087196,8
Theradi,19.96128366,80.71256303,19
Sumathi Theatre,16.41730082,78.2436558,1
Thirutheri,18.32332442,78.41259609,11
