Boarding Points,Latitude,Longitude,Demand
Nerkundram Bus stop,49.62465318,47.8864749,7
Onion Mandi,46.2762288,48.0577931,14
MGR university bus stop,48.72836241,45.55620273,11
Ration shop,49.04493695,46.78798641,9
Maduravoyal Erikkarai stop,47.63897759,48.74243597,11
Tollgate,48.30299112,47.92769583,11
Rajakadai,48.69557835,47.27033762,12
Thiruvotriyur,46.90142653,46.54699786,10
Ernavoor Bridge,48.39837844,46.4433562,10
Sathiyamoorthy nagar,48.41957768,46.38209702,14
MFL,48.72219497,49.90516221,10
Manjambakkam,47.53649001,46.3007383,10
Madhavaram Bridge Under,47.61792367,47.70690583,10
Korattur Bs,46.37356817,49.461265,9
Britania Company,45.46368479,47.31312299,9
Ambathur Estate,48.24473504,49.67577677,12
Mogappair West,49.8618185,47.5240564,10
Porur Tollgate,49.46251597,45.85370518,7
MM Nagar,45.50418491,48.16603554,12
Ford Gate,45.41116801,48.55082219,15
Keelakaranai,49.64964165,48.91829094,11
Sp koil,45.35294096,49.49678859,8
Adyar Aavin park,48.82156915,46.49890805,10
Besant nagar Bus stop,47.88967125,46.95373052,14
Vannandurai Bus stop,45.0647743,46.09536802,14
Adyar Bus depot,46.0459289,49.68302706,9
Thiruvanmiyur signal,49.86366232,45.87368195,9
SRP Tools Bus stop,46.73002115,45.37990418,15
Vijayanagar Bus stop,48.89913822,49.02736995,9
Kaiveli Bus stop,45.37971998,47.4165734,15
Pallikaranai Bus stop,48.51853804,49.18728417,15
Medavakkam Bus Stop,46.39945123,45.65391266,15
Medavakkam Koot Road,45.58390034,45.4549246,9
Santhoshpuram Bus stop,49.36698494,49.34008247,12
Kamaraj nagar Busstop,48.169829,47.958608,14
Camproad Bus stop,48.03474225,47.4918135,12
MCC college bus stop,46.22244028,46.48850293,12
Vandalur Bridge Down,48.30647512,47.70331776,10
Karasangal,45.96000015,45.13884326,14
Tollgate (Walaja),46.96407753,46.74739891,12
Kaveripakkam BS,45.05199048,48.71291434,11
Ocheri,45.181149,46.84070019,11
Perumpulibakkam,49.23130237,49.95391475,15
Dhammal,45.8636724,49.88139956,15
Baluchetty bypass road,45.63627126,47.64119071,11
White gate,49.06532937,45.68083137,10
Ponnerikarai by-pass,49.73382201,47.32256448,15
Pillaichatram,47.03182175,45.61371743,9
Sandavellore,45.70186123,49.56930145,14
Sunguvarchatram BS,47.27781758,49.67671272,8
Deepika hospital,46.12557698,49.18555212,13
Ekkanampettai,45.55065756,49.2389534,11
Varanavasi,46.12292246,46.72414757,9
Mathur,49.88236338,49.67631074,11
Thanthondri amman koil,46.47742018,49.09060473,13
SPR Mani Konndu,45.34801612,47.47159201,10
Theradi,49.73062083,48.22559076,10
Sumathi Theatre,49.08154068,45.228556,13
Thirutheri,48.96104134,45.79718894,13
