Boarding Points,Latitude,Longitude,Demand
Mahendra city,20.09099803,37.98900316,6
SP Koil Bus Stand,20.25725766,41.55061525,5
Kattankolathur BS,24.31177872,42.67697032,14
Potheri/SRM,22.66141646,40.10906341,11
Guduvanchery Bus Stand,24.83345739,42.58154854,11
Urappakkam Bus Stand,23.64136636,39.05592506,20
Vandalur bus stand,22.53003564,44.84682357,5
Vandalur over bridge,23.99067391,42.3478393,13
Loiee (padappai),24.79389663,40.20331164,18
Arun Excello,22.00096999,42.08445367,19
Padappai Petrol bunk,22.20855147,42.21167411,14
Jamai Ice cream,24.49293574,42.9837285,18
Seprananchery,22.54178018,43.85592596,16
Pookadai chatram,20.59071936,36.79798845,12
Kanchipuram BS,22.55773778,42.05243484,9
Mongilmandapam,20.30467305,43.22524699,9
Housing board,24.34725004,42.24398631,12
Orrikai Depo,20.52492864,36.19558408,6
Periyarnagar,21.65024501,41.76743259,8
Iyyempettai,24.53418191,37.25203887,19
Ekkanampet,20.25448744,41.19141503,10
Walajabad,24.42338494,42.99144937,6
Deveripakkam,20.12686817,43.96354722,20
Varanavasi,20.05291387,42.64307011,15
Panruti,24.56509498,37.48605653,6
Vallam Plant,23.98478017,43.71353783,10
Retteri Signal,21.4768845,38.25668977,12
Padi bridge under,24.11801426,36.02563844,12
Rohini theatre (bus stop),23.44635494,41.60500847,10
Nerkundram Bus stop,21.99707192,40.10303453,19
Onion Mandi,21.92446623,36.6613474,8
MGR university bus stop,23.60793813,44.75414458,19
Ration shop,20.07832653,43.57772593,7
Maduravoyal Erikkarai stop,22.08346671,39.65721483,6
Tollgate,23.22432414,35.22148174,11
Rajakadai,21.66998024,39.08221597,15
Thiruvotriyur,22.39027897,39.71461801,18
Ernavoor Bridge,23.49763062,44.3334992,17
Sathiyamoorthy nagar,20.69147782,40.59159302,12
MFL,20.6133377,39.30923427,10
Manjambakkam,21.00454064,44.30728005,6
Madhavaram Bridge Under,22.69440105,44.0568959,19
Korattur Bs,24.0461428,42.23545704,11
Britania Company,23.12449038,44.13671927,7
Ambathur Estate,23.31538412,44.65811096,10
Mogappair West,24.70714827,39.90827452,10
Porur Tollgate,23.17689539,40.62057737,6
MM Nagar,23.60740279,41.5837376,16
Ford Gate,21.62347734,36.36011873,20
Keelakaranai,22.43441748,43.33321994,18
Sp koil,24.7088598,44.83548597,10
Adyar Aavin park,23.0136539,36.40523316,15
Besant nagar Bus stop,24.35089927,44.80759035,9
Vannandurai Bus stop,24.56690768,44.85444666,12
Adyar Bus depot,23.08644675,44.83113248,20
Thiruvanmiyur signal,20.70872081,35.92869939,6
SRP Tools Bus stop,20.14931199,41.59891057,10
Vijayanagar Bus stop,21.52245342,43.22539148,15
Kaiveli Bus stop,21.34434657,42.62635379,12
Pallikaranai Bus stop,21.72008568,39.80832664,14
Medavakkam Bus Stop,23.88057511,40.70774452,19
Medavakkam Koot Road,22.59228769,42.44638385,9
Santhoshpuram Bus stop,23.38134251,39.83494951,16
Kamaraj nagar Busstop,21.78902994,39.60360614,18
Camproad Bus stop,22.33975552,35.23498061,18
MCC college bus stop,20.10219373,42.84556741,12
Vandalur Bridge Down,20.77794689,42.35740976,20
Karasangal,21.04623102,40.72223852,12
Tollgate (Walaja),22.64193698,37.69341207,10
Kaveripakkam BS,21.76142112,44.93304121,10
Ocheri,24.23623888,36.09138837,5
Perumpulibakkam,21.84785354,38.77938517,8
Dhammal,21.75908325,40.5369594,18
Baluchetty bypass road,21.51829517,36.41289753,10
White gate,23.23125501,35.37694045,10
Ponnerikarai by-pass,21.01098313,38.1204801,10
Pillaichatram,20.58127869,40.62855438,15
Sandavellore,20.40045478,42.89212662,20
Sunguvarchatram BS,21.29343617,43.54331796,8
Deepika hospital,24.19152686,35.11240926,14
Ekkanampettai,20.8356312,36.49804539,13
Varanavasi,21.58264089,44.25417229,18
Mathur,22.07762623,42.29674996,13
Thanthondri amman koil,20.89373411,38.13905346,13
SPR Mani Konndu,21.76282078,42.82401798,8
Theradi,20.83873715,35.72835724,19
Sumathi Theatre,24.43714073,41.92200315,11
Thirutheri,24.95657912,44.14642817,17
